шардов: 39
  шард 1/39  окон: 57525
  шард 2/39  окон: 112495
  шард 3/39  окон: 145519
  шард 4/39  окон: 179265
  шард 5/39  окон: 183889
  шард 6/39  окон: 188513
  шард 7/39  окон: 193137
  шард 8/39  окон: 197761
  шард 9/39  окон: 202385
  шард 10/39  окон: 207009
  шард 11/39  окон: 211633
  шард 12/39  окон: 216257
  шард 13/39  окон: 220881
  шард 14/39  окон: 225505
  шард 15/39  окон: 230129
  шард 16/39  окон: 234753
  шард 17/39  окон: 239377
  шард 18/39  окон: 244001
  шард 19/39  окон: 248625
  шард 20/39  окон: 253249
  шард 21/39  окон: 257873
  шард 22/39  окон: 262497
  шард 23/39  окон: 267121
  шард 24/39  окон: 271744
  шард 25/39  окон: 276367
  шард 26/39  окон: 280990
  шард 27/39  окон: 285613
  шард 28/39  окон: 290236
  шард 29/39  окон: 294859
  шард 30/39  окон: 299482
  шард 31/39  окон: 304105
  шард 32/39  окон: 308728
  шард 33/39  окон: 313351
  шард 34/39  окон: 317974
  шард 35/39  окон: 322597
  шард 36/39  окон: 327220
  шард 37/39  окон: 331843
  шард 38/39  окон: 336466
  шард 39/39  окон: 341089

битых клипов: 0
окон всего: 341089  (5.46 GB)
  no_drone: 177498
  drone:    163591
групп: 722
